[FPGA sim] port=12345  pass +fpga_id=N to tag output
[FPGA1] RX #24      data=0x02000004 (len=4 B)
[FPGA1] TX #24.0  data=0x01000000
[FPGA1] TX #24.1  data=0x01000001
[FPGA1] TX #24.2  data=0x01000002
[FPGA1] RX #24      data=0x02000005 (len=4 B)
[FPGA1] TX #24.3  data=0x01000003
[FPGA1] RX #24      data=0x02000006 (len=4 B)
[FPGA1] TX #24.4  data=0x01000004
[FPGA1] TX #24.5  data=0x01000005
[FPGA1] TX #24.6  data=0x01000006
[FPGA1] RX #24      data=0x02000007 (len=4 B)
[FPGA1] TX #24.7  data=0x01000007
[FPGA1] RX #25      data=0x02000000 (len=4 B)
[FPGA1] TX #25.0  data=0x01000000
[FPGA1] TX #25.1  data=0x01000001
[FPGA1] TX #25.2  data=0x01000002
[FPGA1] TX #25.3  data=0x01000003
[FPGA1] RX #25      data=0x02000001 (len=4 B)
[FPGA1] TX #25.4  data=0x01000004
[FPGA1] RX #25      data=0x02000002 (len=4 B)
[FPGA1] TX #25.5  data=0x01000005
[FPGA1] RX #25      data=0x02000003 (len=4 B)
[FPGA1] TX #25.6  data=0x01000006
[FPGA1] RX #25      data=0x02000004 (len=4 B)
[FPGA1] TX #25.7  data=0x01000007
[FPGA1] RX #26      data=0x02000005 (len=4 B)
[FPGA1] RX #26      data=0x02000006 (len=4 B)
[FPGA1] RX #26      data=0x02000007 (len=4 B)
[FPGA1] RX #26      data=0x02000000 (len=4 B)
[FPGA1] RX #26      data=0x02000001 (len=4 B)
[FPGA1] TX #26.0  data=0x01000000
[FPGA1] TX #26.1  data=0x01000001
[FPGA1] TX #26.2  data=0x01000002
[FPGA1] RX #26      data=0x02000002 (len=4 B)
[FPGA1] TX #26.3  data=0x01000003
[FPGA1] RX #26      data=0x02000003 (len=4 B)
[FPGA1] TX #26.4  data=0x01000004
[FPGA1] RX #26      data=0x02000004 (len=4 B)
[FPGA1] TX #26.5  data=0x01000005
[FPGA1] RX #26      data=0x02000005 (len=4 B)
[FPGA1] TX #26.6  data=0x01000006
[FPGA1] RX #26      data=0x02000006 (len=4 B)
[FPGA1] TX #26.7  data=0x01000007
[FPGA1] RX #27      data=0x02000007 (len=4 B)
[FPGA1] RX #27      data=0x02000000 (len=4 B)
[FPGA1] RX #27      data=0x02000001 (len=4 B)
[FPGA1] RX #27      data=0x02000002 (len=4 B)
[FPGA1] TX #27.0  data=0x01000000
[FPGA1] TX #27.1  data=0x01000001
[FPGA1] TX #27.2  data=0x01000002
